Front,Back,Tags
"What command encrypts a file with Ansible Vault?","ansible-vault create filename.yml","vault"
"How do you edit an encrypted vault file?","ansible-vault edit filename.yml","vault"
"How do you decrypt a vault file?","ansible-vault decrypt filename.yml","vault"
"How do you encrypt an existing file?","ansible-vault encrypt filename.yml","vault"
"How do you change the vault password?","ansible-vault rekey filename.yml","vault"
"How do you run a playbook with vault-encrypted files?","ansible-playbook playbook.yml --ask-vault-pass","vault"
"How do you specify a vault password file?","ansible-playbook playbook.yml --vault-password-file .vault_pass","vault"
"How do you view an encrypted vault file?","ansible-vault view filename.yml","vault"
"How do you encrypt a string for use in playbooks?","ansible-vault encrypt_string 'string_to_encrypt'","vault"
"Where can you store vault passwords?","File, environment variable, or script","vault"
"What module manages packages on RHEL/CentOS?","yum or dnf","modules"
"How do you install a package?","yum:\n  name: package_name\n  state: present","modules"
"What module manages services?","service or systemd","modules"
"How do you start and enable a service?","systemd:\n  name: service_name\n  state: started\n  enabled: yes","modules"
"What module copies files to remote hosts?","copy","modules"
"What module manages users?","user","modules"
"How do you create a user with specific UID?","user:\n  name: username\n  uid: 1001","modules"
"What module manages file permissions?","file","modules"
"How do you create a directory?","file:\n  path: /path/to/dir\n  state: directory","modules"
"What module executes shell commands?","shell or command","modules"
"What's the difference between shell and command modules?","shell processes through shell (supports pipes, redirects), command executes directly","modules"
"What module manages cron jobs?","cron","modules"
"What module mounts filesystems?","mount","modules"
"What module manages firewall rules?","firewalld","modules"
"How do you debug variable values?","debug:\n  var: variable_name","troubleshooting"
"How do you print custom debug messages?","debug:\n  msg: 'Custom message: {{ variable }}'","troubleshooting"
"What parameter shows which hosts a task ran on?","ansible-playbook -v shows host information","troubleshooting"
"How do you step through tasks interactively?","ansible-playbook playbook.yml --step","troubleshooting"
"How do you start playbook from specific task?","ansible-playbook playbook.yml --start-at-task 'task_name'","troubleshooting"
"What command shows playbook execution statistics?","ansible-playbook playbook.yml shows recap at end","troubleshooting"
"How do you check if a file exists in a task?","stat:\n  path: /path/to/file\nregister: file_stat","troubleshooting"
"How do you validate YAML syntax?","Use --syntax-check or external YAML validators","troubleshooting"
"What causes 'Unreachable' host status?","SSH connection issues, wrong hostname/IP, authentication failures","troubleshooting"
"How do you test SSH connectivity outside Ansible?","ssh username@hostname","troubleshooting"
"What is idempotency in Ansible?","Tasks produce the same result when run multiple times","exam_concepts"
"What are the main sections of a playbook?","hosts, vars, tasks, handlers","exam_concepts"
"What's the difference between include and import?","include is dynamic (runtime), import is static (parse time)","exam_concepts"
"How do Ansible facts help in automation?","Provide system information for conditional logic and templating","exam_concepts"
"What is the recommended way to store sensitive data?","Ansible Vault encryption","exam_concepts"
"Why use roles instead of large playbooks?","Reusability, organization, maintainability, sharing","exam_concepts"
"What is the purpose of handlers?","Run tasks only when notified and only once per play","exam_concepts"
"When should you use templates vs copy module?","Templates for dynamic content with variables, copy for static files","exam_concepts"
"What makes a good Ansible task name?","Descriptive, explains what the task accomplishes","exam_concepts"
"How do you ensure tasks run in order?","Ansible runs tasks sequentially by default in task order","exam_concepts"
"What command format runs the user module ad-hoc?","ansible all -m user -a 'name=testuser state=present'","exam_scenarios"
"How do you create a playbook that installs httpd and starts it?","- yum: name=httpd state=present\n- systemd: name=httpd state=started enabled=yes","exam_scenarios"
"What's the correct way to copy a file with backup?","copy:\n  src: source_file\n  dest: /path/dest\n  backup: yes","exam_scenarios"
"How do you create a template task for /etc/motd?","template:\n  src: motd.j2\n  dest: /etc/motd\n  owner: root\n  mode: '0644'","exam_scenarios"
"What task creates a user with sudo access?","user:\n  name: username\n  groups: wheel\n  append: yes","exam_scenarios"
"How do you ensure a service starts at boot?","systemd:\n  name: service_name\n  enabled: yes","exam_scenarios"
"What's the format for a when condition with multiple requirements?","when: (condition1 == true) and (condition2 == 'value')","exam_scenarios"
"How do you loop over multiple packages for installation?","yum:\n  name: '{{ item }}'\n  state: present\nloop:\n- httpd\n- vim","exam_scenarios"
"What task removes a user and their home directory?","user:\n  name: username\n  state: absent\n  remove: yes","exam_scenarios"
"How do you set a fact for use in other tasks?","set_fact:\n  custom_fact: 'value'","exam_scenarios"
